# energyFactor	econcomicFactor	constraintViolation	iteration	functionCalls
4.068214046218567026e-02 2.022839296731130665e-01 9.416477939184486612e-04 3.000000000000000000e+00 2.200000000000000000e+01
3.783562504183392988e-02 2.089166787325851260e-01 8.629874574173357349e-04 3.000000000000000000e+00 2.200000000000000000e+01
3.540198293584225636e-02 2.154971133350877255e-01 7.320126639467905427e-04 3.000000000000000000e+00 1.800000000000000000e+01
3.289364838571404159e-02 2.223925025935046818e-01 9.159925263906021353e-04 3.000000000000000000e+00 2.300000000000000000e+01
3.059570655692856259e-02 2.291956584248942830e-01 1.007738961807030931e-03 3.000000000000000000e+00 2.500000000000000000e+01
2.855927008942629394e-02 2.358577330183890264e-01 9.584041593286296568e-04 3.000000000000000000e+00 2.500000000000000000e+01
2.684153774942997159e-02 2.423746708501624825e-01 7.639325951289410721e-04 3.000000000000000000e+00 2.100000000000000000e+01
2.503837835040556917e-02 2.492992458694539004e-01 9.770982184471865839e-04 3.000000000000000000e+00 2.500000000000000000e+01
2.337490384109178546e-02 2.560740623070848487e-01 1.040505260104962471e-03 3.000000000000000000e+00 2.600000000000000000e+01
2.192859380970852909e-02 2.626875309752783605e-01 9.425645323253295516e-04 3.000000000000000000e+00 2.600000000000000000e+01
2.072696171659296413e-02 2.689834750989215650e-01 5.270992599953894242e-04 3.000000000000000000e+00 2.000000000000000000e+01
1.936531504311304192e-02 2.762149210712901426e-01 1.047135836390822305e-03 3.000000000000000000e+00 2.900000000000000000e+01
1.815558835043533034e-02 2.830391866331136153e-01 1.159992002241150288e-03 3.000000000000000000e+00 2.600000000000000000e+01
1.721742799948141472e-02 2.892800995556885635e-01 6.894955288429538420e-04 3.000000000000000000e+00 2.000000000000000000e+01
1.614102935239258504e-02 2.964395169111321837e-01 1.137503488313373889e-03 3.000000000000000000e+00 2.700000000000000000e+01
1.517709005966339127e-02 3.030936797257949844e-01 1.080256907003029898e-03 3.000000000000000000e+00 2.800000000000000000e+01
1.436472176572926515e-02 3.095880241318970660e-01 8.631919171319668571e-04 3.000000000000000000e+00 2.600000000000000000e+01
1.359876855174320560e-02 3.163085119088502317e-01 8.722702981119878629e-04 3.000000000000000000e+00 2.400000000000000000e+01
1.282193022588162985e-02 3.231215899532381974e-01 9.739389465268089019e-04 3.000000000000000000e+00 2.700000000000000000e+01
1.213141807553326859e-02 3.297773301072700614e-01 9.182697045855281459e-04 3.000000000000000000e+00 2.700000000000000000e+01
1.157910672375857437e-02 3.359569990696773534e-01 3.865292710196199799e-04 3.000000000000000000e+00 2.100000000000000000e+01
1.092533505269874944e-02 3.425661663224479070e-01 2.842871278170289173e-04 4.000000000000000000e+00 3.400000000000000000e+01
1.031308426215074743e-02 3.492154420544225646e-01 2.221534638185418409e-04 3.000000000000000000e+00 3.300000000000000000e+01
